AE,OP,LG,Sex,c,LW,pH,IMF,PFat
1,1,4,2,190,1705,5.59,1.408,15.3
1,1,4,2,191,1610,5.52,1.039,7.84
1,1,4,2,192,1840,5.61,1.202,13.7
1,1,4,2,193,1865,5.64,1.196,10.72
1,1,4,2,194,1955,5.53,1.238,17.77
1,1,4,2,195,1725,5.3,1.013,11.31
1,1,4,2,196,1850,5.49,1.383,18.65
1,1,4,2,197,1865,5.4,1.027,14.59
1,1,4,2,198,1845,5.45,1.223,13.46
1,1,4,2,199,1870,5.49,1.561,13.13
1,1,4,2,200,1600,5.48,0.918,7.27
1,1,4,2,201,1535,5.6,0.925,5.35
1,2,4,2,202,2185,5.57,1.204,20.52
1,2,4,2,203,1795,5.55,1.137,12.7
1,1,4,2,204,1930,5.35,1.206,11.04
1,1,4,2,205,1880,5.43,0.828,8.85
1,1,4,2,206,1660,5.75,1.521,9.7
1,1,4,2,207,1800,5.55,0.971,12.41
1,1,4,2,208,1635,5.58,1.109,11.62
1,1,4,2,209,1870,5.66,1.102,21.36
1,1,4,2,210,2070,5.56,1.198,17.47
1,1,4,2,211,2045,5.6,1.201,21.4
1,1,4,2,212,1920,5.56,1.067,16.99
2,1,5,1,209,1575,99999,0.981,5.62
2,1,5,1,210,1550,5.38,1.005,6.32
2,1,5,1,211,1680,5.51,0.962,6.81
2,1,5,1,212,1515,5.65,0.855,2.89
2,1,5,1,213,1605,5.46,1.236,5.55
2,1,5,1,214,1755,5.55,1.103,8.1
2,1,5,1,215,1745,5.87,1.086,6.18
2,1,5,1,216,1550,5.7,1.167,6.33
2,1,5,1,217,1520,5.58,1.018,5.61
2,1,5,1,218,1690,5.73,1.077,6.21
2,1,5,1,219,1550,5.67,1.181,8.84
2,1,5,1,220,1380,5.59,1.205,5.96
2,1,5,1,221,1630,5.57,1.067,8.21
2,1,5,1,222,1565,5.54,0.982,5.83
2,1,5,1,223,1605,5.57,1.243,6.94
2,1,5,1,224,1585,5.57,1.117,10.71
2,1,5,1,225,1550,5.57,1.174,7.58
2,1,5,1,226,1475,5.48,1.181,6.87
2,1,5,1,227,1485,5.58,1.081,6.74
2,2,5,1,228,1725,5.56,1.063,7.32
2,2,5,1,229,1425,5.64,1.116,3.33
2,2,5,1,230,1535,5.66,1.022,2.51
2,1,5,1,231,1575,5.55,1.06,7.14
2,1,5,1,232,1575,5.5,1.052,5.26
2,1,5,1,233,1755,5.51,0.95,7.2
2,1,5,1,234,1940,5.6,0.926,7.06
1,2,5,1,235,1505,99999,0.95,4.97
1,2,5,1,236,1620,5.63,1.03,8.3
1,1,5,1,237,1595,5.52,1.059,9.17
1,1,5,1,238,1670,5.48,1.157,6.12
1,2,5,1,239,1895,5.52,1.215,8.96
1,1,5,1,240,2140,5.45,99999,20.13
1,1,5,1,241,1925,5.43,1.162,15.53
1,1,5,1,242,1855,5.55,1.147,14.89
1,2,5,1,243,1770,5.58,1.131,9.26
1,2,5,1,244,1665,5.61,0.976,4.12
1,2,5,1,245,1885,5.44,0.942,9.98
1,2,5,1,246,1835,5.47,1.28,9.65
1,1,5,1,247,1795,5.53,1.023,9.62
1,2,5,1,248,1925,5.38,1.003,13.81
2,1,5,2,213,1625,5.42,1.096,4.53
2,1,5,2,214,1550,5.52,1.057,6.26
2,1,5,2,215,1545,5.41,1.315,7.4
2,1,5,2,216,1445,5.47,0.979,4.33
2,1,5,2,217,1640,5.53,1.263,7.3
2,1,5,2,218,1670,5.55,0.873,8.48
2,1,5,2,219,1695,5.62,1.066,8.37
2,1,5,2,220,1515,5.63,1.109,6.94
2,1,5,2,221,1495,5.59,0.983,4.57
2,1,5,2,222,1675,5.68,1.151,5.8
2,1,5,2,223,1590,5.62,1.098,6.93
2,1,5,2,224,1660,5.71,0.985,9.16
2,1,5,2,225,1570,5.59,0.927,6.5
2,1,5,2,226,1490,5.72,0.999,7.4
2,1,5,2,227,1660,5.66,0.98,8.4
2,1,5,2,228,1525,5.68,1.063,10.76
2,1,5,2,229,1515,5.54,0.958,6.14
2,2,5,2,230,1685,5.52,1.023,7.86
2,1,5,2,231,1645,5.59,1.08,8.02
2,1,5,2,232,1855,5.44,1.191,16.65
1,2,5,2,233,1410,5.43,0.943,6.08
1,2,5,2,234,1645,5.38,0.999,9.07
1,1,5,2,235,1675,5.51,1.263,12.46
1,2,5,2,236,1420,5.53,0.965,5.97
