AE,OP,LG,Sex,LW,pH,IMF,PFat
1,1,2,1,1715,5.32,1.463,8.76
1,1,2,2,1750,5.66,1.171,11
1,1,2,2,1665,5.69,1.16,8.31
1,1,2,2,1685,5.54,1.308,10.49
1,1,2,2,1845,5.54,1.269,15.56
1,1,2,2,1590,5.58,1.584,11.95
1,1,2,2,1845,5.37,1.141,15.8
1,1,2,2,1765,5.5,1.273,6.33
1,1,2,2,2095,5.39,1.32,16.85
1,1,2,2,1595,5.81,1.124,3.17
1,1,2,2,2085,5.5,1.389,22.86
1,1,2,2,1915,5.52,1.406,13.03
1,1,2,2,1750,5.45,1.452,13.64
1,1,2,2,1905,5.56,0.939,7.87
1,1,2,2,1920,5.65,1.33,11.6
1,1,2,2,1985,5.43,1.224,10.92
1,1,2,2,1850,5.6,1.616,14.54
1,1,2,2,1990,5.42,1.447,16.21
1,1,2,2,2030,5.5,1.46,16.06
1,1,2,2,1500,5.24,1.014,5.23
1,1,2,2,1550,5.5,1.008,5.24
1,1,2,2,1725,5.55,1.217,12.05
1,1,2,2,1690,5.63,1.064,7.12
1,1,2,2,1670,5.65,1.013,9.3
1,1,2,2,1875,5.45,1.132,13.41
1,1,2,2,1885,5.63,0.931,10.04
1,2,2,2,1780,5.55,1.306,11.08
1,1,2,2,1680,5.8,1.073,7.87
1,1,2,2,1865,99999,1.126,11.44
1,1,2,2,1630,5.61,1.091,5.7
1,1,2,2,1630,5.53,1.111,9.55
1,1,2,2,1740,5.56,1.317,11.06
1,1,2,2,1655,5.63,1.366,10.75
1,1,2,2,1900,5.44,1.493,11.15
1,1,2,2,1695,5.62,1.175,11.35
1,1,2,2,1845,5.47,1.425,16.06
1,1,2,2,1635,5.55,0.999,8.06
1,1,2,2,1705,5.48,1.089,9.35
1,1,2,2,1845,5.39,1.326,10.88
1,1,2,2,1960,5.56,1.291,18.29
1,1,2,2,1815,5.57,1.118,8.28
1,1,2,2,1685,5.62,1.26,16.11
1,1,2,2,1695,5.37,1.248,11.5
1,1,2,2,2485,5.55,1.32,29.53
1,1,2,2,2595,5.61,1.387,44.06
2,1,3,1,1485,5.54,0.936,6.6
2,1,3,1,1595,5.8,1.146,8.09
2,1,3,1,1655,5.5,1.196,7.18
2,1,3,1,1510,5.55,1.159,5.03
2,1,3,1,1705,5.49,1.127,10.97
2,1,3,1,1505,5.61,1.247,5.29
2,1,3,1,1485,5.58,1.099,7.22
2,1,3,1,1470,5.64,1.31,7.44
2,2,3,1,1580,5.58,1.048,6.95
2,1,3,1,1790,5.54,1.151,8.1
2,1,3,1,1540,5.61,0.938,6.13
2,1,3,1,1635,5.53,1.094,5.26
2,1,3,1,1760,5.61,0.98,7.53
2,1,3,1,1625,5.7,1.283,5.53
2,1,3,1,1450,5.69,1.338,8.18
2,1,3,1,1455,5.57,1.096,5.34
2,1,3,1,1660,5.64,1.119,8.71
2,2,3,1,1650,5.49,1.207,7.22
2,1,3,1,1655,5.54,1.131,8.3
2,1,3,1,1535,5.51,1.149,7.36
2,1,3,1,1410,5.49,1.378,4.9
2,1,3,1,1585,5.52,1.055,5.28
2,1,3,1,1490,5.63,1.194,7.62
2,1,3,1,1530,5.71,1.265,5.55
2,1,3,1,1665,5.66,1.387,8.11
2,1,3,1,1780,5.54,1.351,7.85
2,1,3,1,1500,5.51,1.209,5.12
2,1,3,1,1465,5.47,1.152,5.45
2,1,3,1,1625,5.72,1.222,5.58
2,1,3,1,1590,5.41,1.122,5.84
1,1,3,1,1520,5.57,1.156,9.18
1,1,3,1,1630,99999,1.139,7.61
1,1,3,1,1740,5.43,1.221,8.22
1,1,3,1,1810,5.56,1.131,7.6
1,1,3,1,1750,5.57,1.169,9.16
1,1,3,1,1595,5.54,1.275,6.22
1,1,3,1,1655,5.41,1.19,7.94
1,1,3,1,1495,5.39,1.368,6.06
1,2,3,1,1870,5.42,1.151,6.9
1,1,3,1,1830,5.57,1.104,10.69
1,2,3,1,1690,5.58,0.97,7.89
1,2,3,1,1965,5.48,1.532,10.89
2,1,3,2,1390,5.56,1.053,6.27
2,1,3,2,1480,5.67,1.289,5.57
2,1,3,2,1580,5.68,1.096,8.19
2,1,3,2,1745,5.78,1.116,8.75
2,1,3,2,1570,5.51,1.188,6.74
2,1,3,2,1540,5.65,1.298,7.61
2,1,3,2,1530,5.48,1.037,6.85
2,1,3,2,1560,5.5,1.292,7.84
2,1,3,2,1875,5.64,1.268,14.75
2,1,3,2,1615,5.59,1.143,9.22
2,2,3,2,1520,5.63,1.168,6.02
2,1,3,2,1860,5.69,1.045,10.54
2,1,3,2,1630,5.65,1.208,7.34
2,1,3,2,1505,5.65,0.847,6.07
2,1,3,2,1800,5.48,1.005,8.37
2,1,3,2,1790,5.55,1.24,9.93
